Bayes,,,,,,,,,,,,Naive Bayes,,,,,,,,
Data Set,TC1,TC2,TP1,TP2,,,,,,,,Data Set,TC1,TC2,TP1,TP2,,,,
Interlock,,,,,,,,,,,,Interlock,,,,,,,,
1,118,121,122,128,,,,,,,,1,,,,,,,,
2,118,121,122,128,,,,,,,,2,,,,,,,,
3,118,122,121,129,,,,,,,,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Ring,OLD,,,,,NEW,with,pc1,,,,Ring,,,,,,,,
1,47,142,206,171,,0,300,0,375,,,1,,,,,,,,
2,47,142,206,171,,0,300,0,375,,,2,,,,,,,,
3,76,301,76,301,,57,300,57,318,,,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Spiral,,,,,,,,,,,,Spiral,,,,,,,,
1,175,175,326,326,,,,,,,,1,,,,,,,,
2,175,175,326,326,,,,,,,,2,,,,,,,,
3,175,175,326,326,,,,,,,,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
LS,TC1,TC2,TC2,TP1,TP2,TP3,,,,,,LS,TC1,TC2,TC2,TP1,TP2,TP3,,
1,125,125,125,125,125,125,,,,,,1,,,,,,,,
2,125,125,125,125,125,125,,,,,,2,,,,,,,,
3,125,125,125,125,125,125,,,,,,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OD,TC1,TC2,TC3,TC4,TP1,TP2,TP3,TP4,,,,OD,TC1,TC2,TC3,TC4,TP1,TP2,TP3,TP4
1,113,116,113,120,118,128,121,133,,,,1,,,,,,,,
2,113,118,117,120,116,128,124,132,,,,2,,,,,,,,
3,116,116,115,118,122,127,121,130,,,,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
RD,TC1,TC2,TC3,TP1,TP2,TP2,,,,,,RD,TC1,TC2,TC3,TP1,TP2,TP2,,
1,553,512,613,554,525,657,,,,,,1,,,,,,,,
2,549,510,614,549,523,664,,,,,,2,,,,,,,,
3,555,512,611,556,526,654,,,,,,3,,,,,,,,
